CrashID,RdCharacte,RdClass,RdConditio,RdConfig,RdDefects,RdFeature,RdSurface,Region,RuralUrban,SpeedLimit,TraffCntrl,Weather,Workzone,Latitude,LightCond,Locality,Longitude
103260673,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Coastal,Rural,50 - 55  MPH,No Control Present,Clear,No,35.884406,Daylight,Rural (<30% Developed),-76.70836
103260720,Straight - Level,NC Route,Dry,"Two-Way, Divided, Positive Median Barrier",None,Four-Way Intersection,Concrete,Piedmont,Urban,40 - 45  MPH,Stop And Go Signal,Clear,No,35.295449,Daylight,Urban (>70% Developed),-80.755246
103260823,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Concrete,Piedmont,Urban,40 - 45  MPH,Stop And Go Signal,Clear,No,35.769108,Daylight,Urban (>70% Developed),-78.691322
103261047,Straight - Grade,Local Street,Wet,"One-Way, Not Divided",None,"Driveway, Public",Concrete,Piedmont,Urban,30 - 35  MPH,No Control Present,Cloudy,No,35.201088,Daylight,Urban (>70% Developed),-80.843375
103261400,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,Missing,Coarse Asphalt,Coastal,Urban,20 - 25  MPH,Stop Sign,Clear,No,34.187858,Daylight,Urban (>70% Developed),-77.880435
103261541,Straight - Grade,Public Vehicular Area,Dry,"Two-Way, Not Divided",None,"Driveway, Public",Smooth Asphalt,Piedmont,Urban,5 - 15 MPH,No Control Present,Clear,No,35.886488,Daylight,Urban (>70% Developed),-78.566631
103261581,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Coastal,Urban,30 - 35  MPH,Stop Sign,Clear,No,35.303777,Daylight,Urban (>70% Developed),-78.606775
103261605,Straight - Level,NC Route,Wet,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Rural,40 - 45  MPH,"Double Yellow Line, No Passing Zone",Cloudy,No,36.305673,Daylight,Rural (<30% Developed),-78.379796
103261841,Straight - Grade,Local Street,Dry,"Two-Way, Divided, Positive Median Barrier",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,40 - 45  MPH,No Control Present,Cloudy,No,35.342394,Dawn,Urban (>70% Developed),-80.765844
103261886,Straight - Grade,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Coarse Asphalt,Piedmont,Urban,20 - 25  MPH,Stop Sign,Clear,No,35.786989,Daylight,Urban (>70% Developed),-78.674643
103262480,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,Four-Way Intersection,Smooth Asphalt,Piedmont,Urban,20 - 25  MPH,Stop Sign,Clear,No,35.768301,Daylight,Urban (>70% Developed),-78.60291
103262914,Straight - Level,Local Street,Dry,"Two-Way, Divided, Unprotected Median",None,T-Intersection,Smooth Asphalt,Piedmont,Urban,30 - 35  MPH,Stop And Go Signal,Clear,No,35.224368,Daylight,Urban (>70% Developed),-80.891126
103263000,Straight - Level,State Secondary Route,Wet,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,40 - 45  MPH,No Control Present,Rain,No,35.791541,Dark - Roadway Not Lighted,Urban (>70% Developed),-78.774416
103263102,Straight - Level,US Route,Dry,"Two-Way, Not Divided",None,T-Intersection,Coarse Asphalt,Coastal,Rural,40 - 45  MPH,No Control Present,Clear,No,35.089543,Dark - Lighted Roadway,Mixed (30% To 70% Developed),-78.788647
103263168,Straight - Level,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Rural,30 - 35  MPH,"Double Yellow Line, No Passing Zone",Clear,No,35.538721,Daylight,Mixed (30% To 70% Developed),-81.025168
103264081,Straight - Level,US Route,Dry,"Two-Way, Not Divided",None,"Driveway, Public",Coarse Asphalt,Coastal,Rural,30 - 35  MPH,No Control Present,Clear,No,34.997588,Dark - Roadway Not Lighted,Urban (>70% Developed),-78.090889
103264243,Straight - Grade,State Secondary Route,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Rural,50 - 55  MPH,No Control Present,Clear,No,36.077583,Daylight,Rural (<30% Developed),-78.497744
103264853,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,"Driveway, Public",Coarse Asphalt,Coastal,Urban,Unknown,No Control Present,Clear,No,35.044072,Dark - Lighted Roadway,Urban (>70% Developed),-78.942757
103264929,Straight - Grade,State Secondary Route,Dry,"Two-Way, Not Divided",None,"Driveway, Private",Coarse Asphalt,Piedmont,Rural,30 - 35  MPH,No Control Present,Clear,No,35.672128,Daylight,Urban (>70% Developed),-79.819264
103264990,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,Missing,Smooth Asphalt,Coastal,Urban,30 - 35  MPH,No Control Present,Clear,No,35.928503,Daylight,Urban (>70% Developed),-77.792187
103265009,Curve - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Piedmont,Urban,5 - 15 MPH,No Control Present,Clear,No,35.737156,Daylight,Urban (>70% Developed),-78.574689
103265719,Straight - Level,Local Street,Dry,"Two-Way, Not Divided",None,No Special Feature,Smooth Asphalt,Coastal,Rural,20 - 25  MPH,No Control Present,Clear,No,35.918945,Daylight,Urban (>70% Developed),-76.252619
